condition,policy,k,n,solved,proportion,wilson95_low,wilson95_high
forced-p0,random-no-repeat,0,200,0,0,1.734723475976807e-18,0.018845326377266575
forced-p0,random-no-repeat,1,200,0,0,1.734723475976807e-18,0.018845326377266575
forced-p0,random-no-repeat,2,200,0,0,1.734723475976807e-18,0.018845326377266575
forced-p0,random-no-repeat,3,200,0,0,1.734723475976807e-18,0.018845326377266575
forced-p0,random-no-repeat,4,200,0,0,1.734723475976807e-18,0.018845326377266575
forced-p0,random-no-repeat,5,200,0,0,1.734723475976807e-18,0.018845326377266575
forced-p0,random-no-repeat,6,200,0,0,1.734723475976807e-18,0.018845326377266575
forced-p0,random-no-repeat,7,200,1,0.005,0.0008831687156009814,0.02777370439789293
forced-p0,random-no-repeat,8,200,1,0.005,0.0008831687156009814,0.02777370439789293
forced-p0,random-no-repeat,9,200,1,0.005,0.0008831687156009814,0.02777370439789293
forced-p0,random-no-repeat,10,200,1,0.005,0.0008831687156009814,0.02777370439789293
forced-p0,random-no-repeat,11,200,2,0.01,0.0027466581335444384,0.0357217617161768
forced-p0,random-no-repeat,12,200,2,0.01,0.0027466581335444384,0.0357217617161768
forced-p0,random-no-repeat,13,200,2,0.01,0.0027466581335444384,0.0357217617161768
forced-p0,random-no-repeat,14,200,2,0.01,0.0027466581335444384,0.0357217617161768
forced-p0,random-no-repeat,15,200,2,0.01,0.0027466581335444384,0.0357217617161768
forced-p0,random-no-repeat,16,200,2,0.01,0.0027466581335444384,0.0357217617161768
forced-p0,random-no-repeat,17,200,2,0.01,0.0027466581335444384,0.0357217617161768
forced-p0,random-no-repeat,18,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,19,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,20,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,21,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,22,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,23,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,24,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,25,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,26,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,27,200,3,0.015,0.00511423779325831,0.04316572879269026
forced-p0,random-no-repeat,28,200,4,0.02,0.0078044264163494685,0.050287086905826436
forced-p0,random-no-repeat,29,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,30,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,31,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,32,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,33,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,34,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,35,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,36,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,37,200,5,0.025,0.010724719651761264,0.05717834040664198
forced-p0,random-no-repeat,38,200,6,0.03,0.013820314340111346,0.06389429245451925
forced-p0,random-no-repeat,39,200,6,0.03,0.013820314340111346,0.06389429245451925
forced-p0,random-no-repeat,40,200,6,0.03,0.013820314340111346,0.06389429245451925
forced-p0,random-no-repeat,41,200,6,0.03,0.013820314340111346,0.06389429245451925
forced-p0,random-no-repeat,42,200,6,0.03,0.013820314340111346,0.06389429245451925
forced-p0,random-no-repeat,43,200,6,0.03,0.013820314340111346,0.06389429245451925
forced-p0,random-no-repeat,44,200,7,0.035,0.017055542008567192,0.07047061152229073
forced-p0,random-no-repeat,45,200,7,0.035,0.017055542008567192,0.07047061152229073
forced-p0,random-no-repeat,46,200,7,0.035,0.017055542008567192,0.07047061152229073
forced-p0,random-no-repeat,47,200,7,0.035,0.017055542008567192,0.07047061152229073
forced-p0,random-no-repeat,48,200,7,0.035,0.017055542008567192,0.07047061152229073
forced-p0,random-no-repeat,49,200,7,0.035,0.017055542008567192,0.07047061152229073
forced-p0,random-no-repeat,50,200,7,0.035,0.017055542008567192,0.07047061152229073
forced-p0,random-no-repeat,51,200,8,0.04,0.020405632066152306,0.07693206820093293
forced-p0,random-no-repeat,52,200,8,0.04,0.020405632066152306,0.07693206820093293
