condition,policy,n,solved60,solved60_proportion,wilson95_low,wilson95_high,solved5,solved10,solved20,solved40,no_candidates,capped
forced-p0,random-no-repeat,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,3,6,0,190
forced-p0,strict,200,200,1,0.9811546736227335,1,69,200,200,200,0,0
forced-p0,fields,200,200,1,0.9811546736227335,1,69,200,200,200,0,0
forced-p0,replies,200,200,1,0.9811546736227335,1,69,200,200,200,0,0
forced-p0.2,random-no-repeat,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,3,6,0,190
forced-p0.2,strict,200,21,0.105,0.06970748792681017,0.1551803199112304,11,21,21,21,179,0
forced-p0.2,fields,200,200,1,0.9811546736227335,1,14,73,172,200,0,0
forced-p0.2,replies,200,200,1,0.9811546736227335,1,16,84,181,200,0,0
forced-p5over6,random-no-repeat,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,3,6,0,190
forced-p5over6,strict,200,0,0,1.734723475976807e-18,0.018845326377266575,0,0,0,0,200,0
forced-p5over6,fields,200,10,0.05,0.02738264560076393,0.08957814813877599,0,0,2,2,0,190
forced-p5over6,replies,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,2,4,0,190
forced-p1,random-no-repeat,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,3,6,0,190
forced-p1,strict,200,0,0,1.734723475976807e-18,0.018845326377266575,0,0,0,0,200,0
forced-p1,fields,200,3,0.015,0.00511423779325831,0.04316572879269026,0,0,1,2,0,197
forced-p1,replies,200,1,0.005,0.0008831687156009814,0.02777370439789293,0,0,0,0,0,199
bounded-L0,random-no-repeat,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,3,6,0,190
bounded-L0,strict,200,200,1,0.9811546736227335,1,69,200,200,200,0,0
bounded-L0,fields,200,200,1,0.9811546736227335,1,69,200,200,200,0,0
bounded-L0,replies,200,200,1,0.9811546736227335,1,69,200,200,200,0,0
bounded-L0,known-L,200,200,1,0.9811546736227335,1,69,200,200,200,0,0
bounded-L1,random-no-repeat,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,3,6,0,190
bounded-L1,strict,200,27,0.135,0.09446570454787906,0.18929138370752552,14,27,27,27,173,0
bounded-L1,fields,200,200,1,0.9811546736227335,1,31,200,200,200,0,0
bounded-L1,replies,200,200,1,0.9811546736227335,1,35,200,200,200,0,0
bounded-L1,known-L,200,200,1,0.9811546736227335,1,35,200,200,200,0,0
bounded-L2,random-no-repeat,200,10,0.05,0.02738264560076393,0.08957814813877599,0,1,3,6,0,190
bounded-L2,strict,200,27,0.135,0.09446570454787906,0.18929138370752552,14,27,27,27,173,0
bounded-L2,fields,200,200,1,0.9811546736227335,1,24,193,200,200,0,0
bounded-L2,replies,200,200,1,0.9811546736227335,1,27,197,200,200,0,0
bounded-L2,known-L,200,200,1,0.9811546736227335,1,27,197,200,200,0,0
